,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
current,0.2234608,0.17667466,0.10704091,0.054442044,0.045289394,0.1339165,0.33167243,0.33437043,0.055995695,0.12040169,0.18281311,0.14489166,0.014824825,-0.011001999,0.051095948,0.055000346,-0.025735565,-0.13192658,-0.18046468,0.1099505,-0.06214105,-0.16555125,0.12221984,-0.08346292,0.074316345,0.11239835,0.14875817,0.2254983,-0.054619055,-0.046209622,0.076688364,0.07233848,-0.14549623,0.17696996,-0.009447414,0.10232902,-0.048660293,0.05208283,0.04519921,0.17314257,-0.07761929,-0.1772679,0.044879038,-0.026936196,0.22840351,-0.2752858,0.21591923,-0.15695453,-0.054177746,-0.13736379
glennbeck,-0.09948773,0.12082335,-0.035940755,-0.17276329,0.0646192,0.058251157,0.26448008,0.21121506,0.03853443,0.093881644,-0.12423202,-0.121081084,-0.048777886,-0.025387237,-0.025162512,-0.22406594,0.01590388,0.14012407,-0.2869698,-0.11940399,-0.24910954,-0.11047082,0.2378874,-0.012003682,-0.050196406,0.042653285,0.2606518,-0.0683486,-0.049905982,0.07238011,-0.11117768,-0.16445695,-0.12616125,-0.12662336,0.13260832,0.23022932,0.13795435,-0.14748687,-0.21874194,-0.13386385,-0.015989505,-0.13788301,0.12752974,-0.061541006,0.093322106,0.24683161,0.07973144,-0.025233053,-0.1385465,0.110311255
KarlRove,-0.05505232,0.18334505,0.014756835,-0.114782,0.16808817,0.03334034,0.24209349,0.10364252,0.101733945,-0.0937258,0.10888967,-0.09052222,0.024500336,-0.05171481,0.013866558,-0.08017485,0.111150794,0.22841582,-0.3135017,0.034909282,0.048397366,0.0039566364,0.26658377,0.019981148,-0.14853421,-0.08049943,0.15766223,-0.04912619,-0.028414898,0.09243964,0.017040743,-0.18261988,-0.12752378,-0.13779971,0.010853046,-0.0018896085,0.25857598,-0.028330205,-0.2660866,-0.07837787,0.114141755,-0.04198681,0.20314024,-0.19693418,0.07958,0.27146962,0.29496792,-0.09202942,-0.11510201,0.04392103
KeithOlbermann,0.23212664,-0.31166047,-0.08716664,-0.021436905,-0.33425146,-0.0261227,0.11742443,0.43486908,0.12746781,-0.040081847,0.06277586,0.17387846,0.06773616,-0.037471313,0.17921129,0.14199671,0.12698147,0.2578446,-0.07050469,-0.03755707,0.09966062,-0.13526368,0.056546524,-0.00038334125,-0.18318415,0.024206996,-0.06523623,0.17951615,-0.053687498,-0.16335207,-0.16107515,0.06797179,0.013373103,-0.015614183,0.073245496,-0.13007873,0.08823343,-0.11109413,0.11058382,-0.14224866,-0.13737899,-0.07128947,-0.03609946,-0.20463318,0.013132922,-0.024157949,0.045089092,-0.050783716,-0.04698342,-0.118917644
RonPaul,-0.25472024,-0.05211936,-0.17044981,-0.0017927419,0.011579724,0.11697033,0.1953399,0.048520364,-0.031031441,0.22106582,0.009309686,-0.006245526,0.012830061,0.20299947,0.13062212,0.14002684,0.21712723,0.06704584,-0.10424444,-0.11276281,-0.14185789,-0.07829344,-0.015005153,-0.16950136,0.07665697,0.031931475,0.11857003,-0.037766967,0.03572971,-0.05481213,-0.06624494,-0.0073321494,0.18203913,0.099546984,0.14723937,0.049989697,0.100323014,0.20408586,-0.05477807,-0.34388286,0.16179307,0.11613327,-0.028809309,0.01231998,-0.22532684,-0.18844847,0.06822329,0.057221215,-0.007432443,0.4293796
SpeakerBoehner,-0.036131784,0.22565833,0.19490308,-0.1088734,0.19040856,0.16505879,0.08922883,-0.05511653,0.11933463,-0.023178808,0.0468576,-0.031854484,0.16768639,-0.06602886,-0.067198746,-0.005622207,0.041204557,0.30524883,-0.2544196,0.032265566,0.113706194,0.22311443,0.124470495,-0.19825059,0.009011556,0.11351195,0.10190359,-0.08382167,0.16926418,-0.046921153,-0.07593106,-0.2521973,0.12865737,-0.073333055,0.011132056,-0.009767419,0.24584176,0.09618628,-0.22429827,-0.22175872,0.1665579,-0.11730815,0.1070607,-0.06442204,0.05405445,0.09444984,0.22617379,0.029147847,-0.07014028,0.20606543
RepPaulRyan,-0.2766507,0.16255477,-0.096181825,-0.10899526,0.29205376,0.1478552,0.10793397,0.15821582,0.06637462,-0.07011717,-0.019668538,-0.13516991,-0.07465233,0.03817032,-0.15795784,-0.03680818,0.011529509,0.16745658,-0.22625779,-0.0692053,0.004057306,-0.011849238,0.22670081,-0.12270772,-0.09610866,0.0174702,0.14836773,0.062116507,0.027519042,0.013056604,0.08594399,-0.18748459,0.0013480332,-0.1771568,0.16463085,-0.08476262,0.23122199,0.18022883,-0.33412045,-0.0004165897,0.07066198,-0.1794751,0.14084548,0.1064129,-0.05573377,0.22639301,0.17466451,-0.07982239,0.13245924,-0.026571743
JoeBiden,0.054167137,-0.28910124,0.07171016,0.3591369,-0.16606611,-0.06851383,0.17508468,0.15916029,0.03446391,-0.08307987,0.19183213,0.0008848134,0.10653196,0.031598095,0.063444465,-0.00244651,-0.040127795,-0.08139658,-0.14606501,-0.23114899,0.057480045,-0.01698821,0.052937973,-0.13917479,0.06597953,0.1265713,-0.0047339364,-0.017833652,0.024933863,-0.11157442,0.11773971,-0.17682324,0.14437042,-0.23653236,0.15457372,-0.23458596,-0.16781391,0.38330662,-0.012113573,0.079666704,0.08013798,0.22415869,-0.12264243,-0.0151607245,-0.046893347,0.074436516,0.024501324,0.101106316,0.08675659,-0.082677685
NancyPelosi,0.028994406,-0.15151097,0.11937383,-0.010132743,-0.16239925,0.3150478,0.061171025,0.021253744,0.14566407,-0.02709806,0.02687811,-0.058901787,0.049193468,-0.01758024,-0.06081805,0.20364095,-0.18523268,0.2444475,0.07893648,-0.18661213,0.11130543,0.046135034,0.15553361,-0.1582004,0.056227136,0.3067976,-0.014290714,0.10181031,0.23271878,-0.23460859,-0.27076697,-0.067329,-0.025138672,-0.10332691,-0.019988045,0.06057918,0.15449128,0.30018738,0.24087738,-0.07918544,0.0069738245,-0.036800686,-0.15074554,0.021626024,-0.12832467,-0.09764344,-0.044313923,0.03881223,0.031856023,0.124485396
GovMikeHuckabee,0.052215658,-0.018834123,0.06724883,-0.21982658,0.12944643,0.019729495,0.15993051,0.04304013,0.20333283,0.108643495,-0.10615174,-0.1264454,0.14782289,-0.10589592,-0.12803568,-0.15355016,0.13517822,0.22081943,-0.37870404,-0.119519025,-0.13608028,0.011876768,0.17521699,0.07721592,0.037049595,-0.08343969,0.30111906,-0.23738505,-0.1627878,0.024897639,-0.054270234,-0.07963546,-0.15748577,0.065154165,-0.063867904,0.014071023,0.23198901,-0.10134361,-0.13551721,-0.055588722,0.07221408,-0.043146152,0.16193411,-0.12801091,0.08949102,0.09845388,0.23888133,0.078539975,-0.03359753,0.15366955
MegWhitman,0.021483809,0.039174058,0.13237542,0.15765375,-0.19974397,0.22295743,0.30049112,-0.016841445,0.022821601,0.22439441,0.10612361,0.010540281,0.13949612,-0.054479554,-0.14389053,0.17002802,-0.038246937,0.15701285,-0.24454327,0.010385256,-0.022978744,0.016343834,0.19713731,0.040779594,0.061219327,-0.1614085,0.25904992,0.022029396,-0.07597264,-0.18469867,-0.1621564,0.0807712,-0.13994989,0.1231794,-0.10640585,-0.0587846,0.08711332,-0.17544791,-0.010337038,-0.112313,-0.13879557,-0.13889489,0.103706196,-0.019872785,0.21853487,-0.023529956,0.0759581,-0.18632753,-0.22873326,-0.22859576
